combo,size,lr,base,weight_power,scale_min,augment,epochs,best_epoch,best_miou,iou_background,iou_track,iou_kart,iou_pickup,iou_nitro,iou_bomb,iou_projectile,minutos,estado
s256_lr0.0003_b64_p0.30_sc1.00,256x256,0.0003,64,0.3,1.0,1,40,18,0.46898382902145386,0.7632056474685669,0.7332757115364075,0.6575617790222168,0.5989758372306824,0.5214007496833801,0.00846680998802185,0.0,2.72,ok
s256_lr0.0001_b96_p0.30_sc1.00,256x256,0.0001,96,0.3,1.0,1,40,17,0.4653005003929138,0.7804131507873535,0.7304717302322388,0.5286880135536194,0.6200888156890869,0.5771055817604065,0.02033630944788456,0.0,4.34,ok
s256_lr0.0001_b64_p0.30_sc1.00,256x256,0.0001,64,0.3,1.0,1,40,21,0.4525519013404846,0.7360613346099854,0.6947183012962341,0.6805852055549622,0.5632706880569458,0.46307340264320374,0.030154310166835785,0.0,3.05,ok
s384_lr0.001_b32_p0.30_sc1.00,384x384,0.001,32,0.3,1.0,1,40,15,0.4381079077720642,0.7889600396156311,0.759832501411438,0.5806683897972107,0.5200639367103577,0.40737688541412354,0.009853638708591461,0.0,3.76,ok
s256_lr0.001_b32_p0.30_sc1.00,256x256,0.001,32,0.3,1.0,1,40,21,0.4355774223804474,0.7757108807563782,0.7392593622207642,0.6391416192054749,0.4677303731441498,0.408660352230072,0.018539482727646828,0.0,2.06,ok
s256_lr0.0003_b96_p0.30_sc1.00,256x256,0.0003,96,0.3,1.0,1,40,8,0.4284193813800812,0.7883240580558777,0.7794803977012634,0.5944386124610901,0.47973012924194336,0.35551536083221436,0.0014472018228843808,0.0,3.02,ok
s256_lr0.001_b32_p0.30_sc0.85,256x256,0.001,32,0.3,0.85,1,40,25,0.4224100410938263,0.7227116823196411,0.6568168997764587,0.608298659324646,0.49746593832969666,0.4615384638309479,0.010038891807198524,0.0,2.25,ok
s256_lr0.001_b64_p0.25_sc1.00,256x256,0.001,64,0.25,1.0,1,40,15,0.4219989478588104,0.7937454581260681,0.7543235421180725,0.462401419878006,0.4434582591056824,0.49034982919692993,0.00971405953168869,0.0,2.99,ok
s256_lr0.0003_b32_p0.25_sc1.00,256x256,0.0003,32,0.25,1.0,1,40,33,0.42164501547813416,0.6950989365577698,0.6108421087265015,0.6734358072280884,0.5343049168586731,0.4132039546966553,0.02462959848344326,0.0,2.53,ok
s384_lr0.001_b32_p0.35_sc1.00,384x384,0.001,32,0.35,1.0,1,40,15,0.4145204722881317,0.7856825590133667,0.7488443851470947,0.5502738356590271,0.3804287314414978,0.41461557149887085,0.021798107773065567,0.0,3.7,ok
s256_lr0.001_b32_p0.35_sc1.00,256x256,0.001,32,0.35,1.0,1,40,21,0.40190595388412476,0.7884389162063599,0.7608474493026733,0.6069487929344177,0.4442383646965027,0.2034188061952591,0.009449249133467674,0.0,2.01,ok
s256_lr0.001_b32_p0.40_sc1.00,256x256,0.001,32,0.4,1.0,1,40,13,0.39222338795661926,0.7556494474411011,0.7053364515304565,0.4891430735588074,0.4962625801563263,0.2875817120075226,0.011590559035539627,0.0,1.55,ok
s384_lr0.001_b32_p0.30_sc0.85,384x384,0.001,32,0.3,0.85,1,40,14,0.3842177987098694,0.8170279264450073,0.7901880741119385,0.5666558146476746,0.34039708971977234,0.15694542229175568,0.01831025257706642,0.0,3.53,ok
s256_lr0.001_b32_p0.40_sc0.85,256x256,0.001,32,0.4,0.85,1,40,21,0.3826863765716553,0.7293984889984131,0.6656585335731506,0.6594772338867188,0.3087432384490967,0.30386820435523987,0.011659028008580208,0.0,2.1,ok
s256_lr0.001_b32_p0.35_sc0.85,256x256,0.001,32,0.35,0.85,1,40,6,0.3522554039955139,0.8238503336906433,0.7820743918418884,0.4332329332828522,0.33367177844047546,0.09295835345983505,0.0,0.0,1.13,ok
